longitude,latitude,yrbuilt,stories code,TLA,Wall code,#beds,#baths,#halfbaths,frontage,garage type code,garage sqft,#rooms,lotsize,sale date yymmdd,sold93,sold94,sold95,sold96,sold97,sold98,price
-83.582847,41.725067,1961,1,850,6,3,1,0,50,0,0,5,5500,980917,0,0,0,0,0,1,40000
-83.621212,41.606673,1953,1,1270,7,3,1,0,50,2,325,5,5700,950706,0,0,1,0,0,0,81900
-83.677195,41.643785,1968,1,1193,7,3,1,1,60,2,228,6,8400,931122,1,0,0,0,0,0,67500
-83.504273,41.642503,1915,4,1206,6,3,1,0,31,0,0,7,3900,940802,0,1,0,0,0,0,44000
-83.535166,41.679521,1911,1,836,6,2,1,0,30,3,400,5,3500,970422,0,0,0,0,1,0,20000
-83.60512,41.684541,1929,5,1336,6,3,1,0,40,3,324,6,4800,930217,1,0,0,0,0,0,66000
-83.689584,41.656273,1955,1,875,6,3,1,0,70,3,280,5,9500,980713,0,0,0,0,0,1,53000
-83.638186,41.702482,1954,4,1710,6,4,2,1,60,3,624,7,7500,951208,0,0,1,0,0,0,97000
-83.560776,41.698432,1952,1,1216,4,3,1,0,40,3,280,5,5400,970131,0,0,0,0,1,0,64900
-83.629717,41.726875,1957,1,957,3,3,1,0,76,3,576,5,12100,971212,0,0,0,0,1,0,62000
-83.592555,41.687679,1928,5,1137,6,3,1,0,33,3,484,6,3500,980414,0,0,0,0,0,1,59000
-83.675572,41.658146,1929,1,720,3,2,1,0,40,0,0,5,4500,960827,0,0,0,1,0,0,22000
-83.59709,41.67381,1920,5,1356,6,3,1,0,40,3,240,7,5400,930802,1,0,0,0,0,0,55000
-83.597148,41.633507,1902,1,1124,3,2,1,0,40,3,266,5,5600,980715,0,0,0,0,0,1,43000
-83.733893,41.58217,1997,5,2636,7,3,2,1,75,2,544,7,12375,970430,0,0,0,0,1,0,49900
-83.527742,41.641627,1948,1,768,6,2,1,0,45,2,280,4,3200,930319,1,0,0,0,0,0,14050
-83.579265,41.698657,1950,1,919,6,2,1,0,44,3,280,5,4700,930518,1,0,0,0,0,0,47500
-83.639605,41.725549,1942,1,908,3,2,1,0,60,2,399,5,6700,930811,1,0,0,0,0,0,55000
-83.54405,41.630923,1913,4,1194,6,3,1,0,32,3,528,6,3500,960621,0,0,0,1,0,0,16100
-83.619328,41.668052,1927,5,2064,6,3,2,1,50,3,360,7,7500,961022,0,0,0,1,0,0,158000
-83.531715,41.6811,1966,1,1044,4,3,1,0,50,2,280,5,5400,960304,0,0,0,1,0,0,57900
-83.519219,41.682598,1925,1,1047,6,2,1,0,35,0,0,6,3600,950829,0,0,1,0,0,0,25000
-83.576788,41.648769,1917,5,2912,7,3,2,1,47,0,0,9,12000,970902,0,0,0,0,1,0,11000
-83.408032,41.683228,1957,1,1000,6,3,1,0,125,2,432,6,26900,951010,0,0,1,0,0,0,56000
-83.638231,41.699864,1959,1,1427,3,3,1,1,51,3,384,6,6100,931101,1,0,0,0,0,0,68500
-83.599658,41.680264,1939,1,894,6,2,1,0,40,3,240,5,4900,971217,0,0,0,0,1,0,59950
-83.482302,41.710882,1953,1,891,4,2,1,0,45,3,484,4,5000,931007,1,0,0,0,0,0,54000
-83.679258,41.671549,1979,2,1506,6,3,2,0,60,2,480,6,7500,941222,0,1,0,0,0,0,95000
-83.696739,41.681849,1961,1,864,4,2,1,0,100,3,480,5,24400,980714,0,0,0,0,0,1,68000
-83.508967,41.673553,1902,5,1606,3,4,1,0,35,0,0,8,4200,970506,0,0,0,0,1,0,25000
-83.625696,41.587886,1941,1,1097,6,2,1,0,56,0,0,5,17400,960826,0,0,0,1,0,0,40000
-83.649046,41.688841,1967,5,1777,7,4,2,1,79,3,462,8,9100,980515,0,0,0,0,0,1,140000
-83.565264,41.628527,1897,1,1136,6,3,1,0,30,3,480,6,4300,950201,0,0,1,0,0,0,20000
-83.631203,41.674121,1952,1,1442,7,3,2,0,100,2,399,6,14600,980506,0,0,0,0,0,1,52500
-83.63002,41.672616,1950,1,1297,7,3,1,1,75,2,420,5,10500,930217,1,0,0,0,0,0,59900
-83.518457,41.644914,1877,5,872,6,3,1,0,33,0,0,7,4000,970425,0,0,0,0,1,0,15000
-83.487725,41.641962,1927,5,1997,7,4,1,0,100,3,342,7,16400,970417,0,0,0,0,1,0,115000
-83.56859,41.657123,1913,5,1886,6,4,2,0,40,3,400,7,5300,950721,0,0,1,0,0,0,23514
-83.600963,41.626596,1993,1,1008,6,3,1,0,50,0,0,5,24500,980313,0,0,0,0,0,1,58000
-83.557874,41.710714,1947,1,1334,6,2,1,0,41,4,242,6,4700,950901,0,0,1,0,0,0,55000
-83.618842,41.602702,1951,1,1243,5,3,1,0,80,3,484,5,9200,960503,0,0,0,1,0,0,85000
-83.589649,41.613597,1917,4,1262,6,3,1,1,68,3,240,6,3000,950725,0,0,1,0,0,0,56250
-83.641026,41.724235,1968,1,1036,7,3,1,1,50,3,320,5,8500,950330,0,0,1,0,0,0,78000
-83.528505,41.626657,1902,1,660,6,2,1,0,0,3,308,5,8500,980916,0,0,0,0,0,1,10000
-83.514734,41.650455,1917,5,1604,6,4,1,0,30,0,0,8,3000,940606,0,1,0,0,0,0,28000
-83.666956,41.715817,1943,1,812,6,1,1,0,50,3,506,4,5800,961230,0,0,0,1,0,0,56000
-83.558212,41.703787,1954,1,676,4,2,1,0,38,3,352,4,5200,960814,0,0,0,1,0,0,58900
-83.597939,41.601964,1925,5,1336,6,3,1,0,45,3,528,6,5900,960627,0,0,0,1,0,0,105000
-83.71703,41.604985,1991,5,2346,6,4,2,1,86,2,576,8,12000,980330,0,0,0,0,0,1,198000
-83.691946,41.693416,1955,1,2567,6,3,3,0,150,2,720,7,42800,970416,0,0,0,0,1,0,175000
-83.517037,41.630745,1897,1,939,6,2,1,0,30,0,0,5,3800,951219,0,0,1,0,0,0,22500
-83.661183,41.600698,1969,2,2224,7,3,2,0,72,2,546,7,9000,980624,0,0,0,0,0,1,112000
-83.609314,41.591653,1938,5,1833,4,3,1,1,48,3,576,7,12100,961007,0,0,0,1,0,0,92000
-83.722909,41.704692,1973,1,1548,7,3,1,0,160,2,400,6,21920,940603,0,1,0,0,0,0,112900
-83.680816,41.598472,1976,5,1958,7,4,2,1,90,2,472,8,13300,980423,0,0,0,0,0,1,139900
-83.721711,41.705324,1977,2,1748,7,3,1,1,160,2,528,6,21800,971219,0,0,0,0,1,0,125000
-83.483334,41.70416,1976,1,1088,7,3,1,0,70,0,0,5,8000,970317,0,0,0,0,1,0,66000
-83.602598,41.658927,1937,5,1484,6,4,1,0,40,3,396,7,4400,951204,0,0,1,0,0,0,48500
-83.624329,41.60547,1953,1,1257,4,2,1,0,75,0,0,6,9000,930126,1,0,0,0,0,0,61500
-83.598609,41.703713,1917,4,1233,1,2,1,0,50,2,289,5,8500,940615,0,1,0,0,0,0,54000
-83.483897,41.64518,1977,1,1232,7,3,1,0,30,3,528,6,4100,960614,0,0,0,1,0,0,78000
-83.704292,41.668861,1986,5,2700,7,4,2,1,82,2,504,7,11900,951208,0,0,1,0,0,0,185500
-83.709048,41.615428,1956,1,360,6,2,1,0,55,0,0,5,6400,950808,0,0,1,0,0,0,18500
-83.666292,41.557437,1953,1,1672,7,3,1,1,100,2,480,6,34000,971029,0,0,0,0,1,0,108000
-83.88058,41.565899,1994,1,1820,6,3,2,0,379,3,576,6,352051,950921,0,0,1,0,0,0,85000
-83.676216,41.659173,1946,1,944,6,2,1,0,80,3,320,5,9000,950706,0,0,1,0,0,0,32000
-83.63652,41.646213,1951,1,1407,4,3,1,0,54,3,624,5,7100,940914,0,1,0,0,0,0,57500
-83.667007,41.701855,1966,4,2670,4,4,2,1,83,2,504,7,14700,970627,0,0,0,0,1,0,169000
-83.717986,41.666151,1990,5,2988,7,4,2,1,70,2,462,9,9699,980922,0,0,0,0,0,1,245000
-83.576188,41.629589,1897,1,760,3,2,1,0,30,3,432,5,3700,971124,0,0,0,0,1,0,24900
-83.50078,41.642179,1887,4,1505,6,2,1,1,28,3,240,5,3500,961106,0,0,0,1,0,0,16000
-83.685323,41.647934,1936,1,1316,6,3,1,1,60,2,204,5,7700,940407,0,1,0,0,0,0,15500
-83.629465,41.723198,1952,1,1069,7,3,1,0,40,3,352,5,5600,931230,1,0,0,0,0,0,52500
-83.601692,41.66148,1950,1,769,3,2,1,0,40,3,352,4,4500,980311,0,0,0,0,0,1,50000
-83.603162,41.675024,1922,5,1851,3,5,1,1,40,0,0,9,4800,970603,0,0,0,0,1,0,75000
-83.491038,41.710015,1950,1,812,4,2,1,0,140,3,240,4,5600,970801,0,0,0,0,1,0,83000
-83.607134,41.712495,1919,1,672,6,2,1,0,36,0,0,4,3700,930202,1,0,0,0,0,0,47500
-83.727458,41.584762,1997,5,2788,7,3,2,1,100,2,760,7,15000,970131,0,0,0,0,1,0,62900
-83.48371,41.727819,1975,5,2408,6,3,1,1,65,2,616,7,8900,950825,0,0,1,0,0,0,115000
-83.602645,41.660163,1930,5,1278,3,3,1,0,40,3,216,6,4500,970821,0,0,0,0,1,0,60000
-83.478914,41.721987,1960,1,1821,7,3,1,1,118,2,522,6,18300,940719,0,1,0,0,0,0,82900
-83.534719,41.684362,1922,5,1360,6,3,1,0,35,3,180,6,2000,960410,0,0,0,1,0,0,31500
-83.496988,41.662166,1904,1,936,6,4,1,0,30,0,0,7,3600,930526,1,0,0,0,0,0,20500
-83.534075,41.667822,1912,4,1198,3,3,1,1,30,3,240,6,3000,961127,0,0,0,1,0,0,9350
-83.56402,41.710583,1928,5,1217,6,3,1,0,40,3,484,6,4600,980904,0,0,0,0,0,1,72500
-83.609839,41.689075,1941,5,1299,3,3,1,0,43,3,240,6,4600,971103,0,0,0,0,1,0,89500
-83.555047,41.70089,1943,1,672,6,2,1,0,53,3,240,4,6700,980720,0,0,0,0,0,1,30000
-83.626011,41.589331,1964,4,2004,4,4,2,1,75,2,462,8,9500,960610,0,0,0,1,0,0,145000
-83.702081,41.639484,1949,1,926,6,2,1,0,60,3,420,5,15300,970218,0,0,0,0,1,0,38000
-83.649628,41.570596,1966,5,1500,7,3,1,1,65,2,500,5,9100,950321,0,0,1,0,0,0,109000
-83.527182,41.67534,1909,4,1192,6,3,1,0,28,0,0,6,3100,980908,0,0,0,0,0,1,5000
-83.47748,41.71064,1917,4,1550,7,3,1,0,50,3,320,6,5300,950829,0,0,1,0,0,0,69900
-83.60471,41.601327,1942,5,1682,4,3,1,1,50,3,400,7,7000,960917,0,0,0,1,0,0,126000
-83.582979,41.643593,1899,1,1408,6,5,1,0,30,3,660,11,3500,980528,0,0,0,0,0,1,12000
-83.612868,41.665362,1927,5,1812,1,5,2,0,48,3,360,8,6200,980702,0,0,0,0,0,1,145500
-83.763033,41.661212,1978,5,1869,6,3,2,0,185,2,576,6,264104,971222,0,0,0,0,1,0,170500
-83.587758,41.625236,1927,5,1298,6,3,1,0,25,3,384,6,3000,971104,0,0,0,0,1,0,57550
-83.667245,41.647177,1951,1,1635,7,4,1,1,65,2,308,8,17600,960627,0,0,0,1,0,0,64000
-83.550322,41.641412,1887,4,1146,6,4,1,0,20,0,0,7,3900,960506,0,0,0,1,0,0,5000
-83.717288,41.667264,1989,5,4045,7,5,3,2,79,2,782,10,22300,980706,0,0,0,0,0,1,425000
-83.52843,41.658227,1877,5,1416,6,4,1,0,24,0,0,8,2400,961015,0,0,0,1,0,0,4000
-83.558203,41.684043,1912,4,1302,6,3,1,0,30,0,0,6,2500,951019,0,0,1,0,0,0,16000
-83.698871,41.598425,1979,3,1920,7,3,2,0,78,2,576,7,12300,970421,0,0,0,0,1,0,134000
-83.59943,41.611255,1941,1,1102,6,2,1,0,60,3,528,5,8700,931101,1,0,0,0,0,0,62000
-83.49129,41.664722,1902,4,1339,6,3,1,0,30,3,432,6,3600,970813,0,0,0,0,1,0,10000
-83.644704,41.577618,1956,1,1108,6,3,1,1,122,2,312,5,10000,980727,0,0,0,0,0,1,105000
-83.613202,41.690673,1929,5,1304,6,3,1,0,83,3,512,6,9000,980828,0,0,0,0,0,1,102000
-83.577242,41.70501,1957,3,1488,7,3,1,0,96,2,288,7,10200,940714,0,1,0,0,0,0,61000
-83.712092,41.641776,1931,1,864,6,2,1,0,55,3,520,4,10500,941027,0,1,0,0,0,0,46500
-83.720497,41.670782,1992,5,2810,7,3,2,1,89,2,420,7,9700,970324,0,0,0,0,1,0,239000
-83.845476,41.515666,1980,1,1819,6,2,1,0,150,0,0,8,43000,940809,0,1,0,0,0,0,56000
-83.604442,41.676965,1952,1,851,4,2,1,0,40,3,352,5,5000,961119,0,0,0,1,0,0,52000
-83.447143,41.693573,1946,1,1023,6,3,1,0,60,3,360,6,5700,941107,0,1,0,0,0,0,30000
-83.663347,41.618164,1949,1,792,6,2,1,0,50,3,324,5,7500,940801,0,1,0,0,0,0,47500
-83.681834,41.669222,1965,1,2025,7,3,2,1,83,3,376,7,24900,980223,0,0,0,0,0,1,118000
-83.613403,41.696951,1953,1,692,6,2,1,0,50,3,352,4,7000,950901,0,0,1,0,0,0,82900
-83.657015,41.564319,1994,1,1492,3,3,2,0,91,2,480,6,6502,970331,0,0,0,0,1,0,108900
-83.403992,41.687634,1929,1,660,6,2,1,0,90,3,216,4,10800,960712,0,0,0,1,0,0,18500
-83.600386,41.609436,1917,5,1828,1,3,1,1,60,3,216,7,8100,960227,0,0,0,1,0,0,101000
-83.646426,41.659047,1969,5,2278,3,4,2,1,80,2,440,8,9600,960701,0,0,0,1,0,0,109000
-83.360701,41.674447,1961,1,988,6,3,1,0,110,2,600,5,18300,951228,0,0,1,0,0,0,78900
-83.621609,41.601896,1955,3,1598,7,3,1,0,60,2,288,6,9200,940419,0,1,0,0,0,0,72000
-83.601159,41.712593,1955,1,1018,3,3,1,0,75,3,308,5,12500,960709,0,0,0,1,0,0,82000
-83.536715,41.673974,1916,4,1115,6,3,1,0,30,0,0,6,2000,980505,0,0,0,0,0,1,28000
-83.613115,41.68797,1947,5,1301,7,3,1,0,40,3,440,6,4400,950508,0,0,1,0,0,0,80000
-83.605144,41.626157,1930,5,1256,3,3,1,0,38,3,352,7,4600,970429,0,0,0,0,1,0,70000
-83.547394,41.694042,1916,4,1217,6,4,1,0,35,3,528,8,3500,980402,0,0,0,0,0,1,25000
-83.667209,41.704534,1966,4,2507,4,4,2,1,82,2,380,8,12300,970303,0,0,0,0,1,0,159900
-83.531623,41.67768,1902,4,1228,3,3,1,0,30,3,400,7,3600,961226,0,0,0,1,0,0,25400
-83.477433,41.708528,1940,1,1065,7,2,1,0,88,2,190,5,4100,980430,0,0,0,0,0,1,66250
-83.577084,41.686469,1923,4,1432,3,3,1,0,35,3,280,6,5600,970508,0,0,0,0,1,0,38000
-83.628257,41.575852,1953,1,1143,6,4,1,0,53,3,400,6,5300,930707,1,0,0,0,0,0,66000
-83.580246,41.696731,1947,5,1201,6,3,1,0,40,0,0,6,3800,960418,0,0,0,1,0,0,48000
-83.473432,41.721081,1925,1,1204,6,3,1,0,38,3,600,6,7600,951109,0,0,1,0,0,0,50000
-83.712817,41.626207,1927,1,808,6,2,1,0,70,4,144,4,8500,950807,0,0,1,0,0,0,35000
-83.294661,41.62463,1936,1,2632,3,3,2,0,197,2,754,7,57300,961106,0,0,0,1,0,0,40000
-83.608129,41.686352,1951,5,1329,4,3,1,0,40,3,280,6,5600,940428,0,1,0,0,0,0,78000
-83.699214,41.578218,1996,5,2208,7,3,2,1,75,2,576,7,13500,981005,0,0,0,0,0,1,218000
-83.603566,41.674164,1929,5,1721,4,3,1,1,60,3,400,7,7000,940829,0,1,0,0,0,0,71500
-83.638007,41.717708,1962,1,1741,4,4,1,1,60,3,484,6,7900,950928,0,0,1,0,0,0,87900
-83.539957,41.670289,1902,1,1158,3,2,1,0,34,3,300,5,3400,971230,0,0,0,0,1,0,23670
-83.57023,41.69549,1922,5,1255,3,3,1,0,40,3,324,6,5200,960819,0,0,0,1,0,0,68000
-83.69234,41.647443,1977,1,1200,4,3,1,1,60,2,240,6,11600,950403,0,0,1,0,0,0,48900
-83.512868,41.635703,1907,1,790,6,2,1,0,58,3,400,4,7000,971017,0,0,0,0,1,0,23800
-83.617116,41.715091,1922,1,1073,6,2,1,0,50,3,280,5,10050,981002,0,0,0,0,0,1,70700
-83.621432,41.592887,1957,1,1433,3,3,1,1,40,3,480,6,4800,980422,0,0,0,0,0,1,86000
-83.609169,41.726587,1965,1,1466,7,3,1,1,50,2,312,5,6000,941101,0,1,0,0,0,0,103000
-83.569767,41.689115,1917,5,1605,6,3,1,0,41,3,550,7,5200,960603,0,0,0,1,0,0,50000
-83.677712,41.599362,1976,5,2092,7,4,2,1,102,2,480,9,14000,950801,0,0,1,0,0,0,145000
-83.700778,41.580592,1993,5,2017,7,4,2,1,70,2,546,7,8500,960228,0,0,0,1,0,0,170000
-83.578442,41.620129,1914,4,1297,6,3,1,0,40,3,216,6,3800,941220,0,1,0,0,0,0,40500
-83.585146,41.624176,1915,4,1062,6,3,1,0,30,3,352,6,3100,980928,0,0,0,0,0,1,54250
-83.646781,41.565353,1850,5,1554,6,3,1,0,66,3,825,7,8700,980406,0,0,0,0,0,1,97000
-83.517937,41.623048,1925,5,1102,6,3,1,0,31,3,360,6,4300,961029,0,0,0,1,0,0,47000
-83.57877,41.621335,1917,4,1214,6,3,1,0,31,0,0,6,2500,970212,0,0,0,0,1,0,26000
-83.647903,41.69616,1963,1,1543,4,3,1,1,112,2,496,6,15200,950710,0,0,1,0,0,0,121000
-83.588444,41.620037,1951,1,726,6,2,1,0,35,3,352,4,4200,970617,0,0,0,0,1,0,52000
-83.845157,41.495604,1899,5,1864,6,2,3,0,150,3,1120,6,50617,940601,0,1,0,0,0,0,87000
-83.527034,41.633691,1897,1,975,6,2,1,0,30,3,432,5,3100,980105,0,0,0,0,0,1,12750
-83.663021,41.657278,1942,4,1296,6,3,1,0,120,2,280,6,16417,950717,0,0,1,0,0,0,50000
-83.629047,41.603182,1962,3,1832,7,3,1,1,84,2,308,6,9200,950914,0,0,1,0,0,0,104000
-83.615284,41.5976,1921,4,1748,6,3,1,0,90,2,440,6,10900,970826,0,0,0,0,1,0,128000
-83.582184,41.622474,1959,1,1048,4,3,1,0,35,2,240,6,4900,970213,0,0,0,0,1,0,61000
-83.726506,41.550604,1952,1,1129,6,3,1,0,102,2,400,5,48569,980605,0,0,0,0,0,1,97450
-83.515945,41.633857,1907,1,760,6,1,1,0,30,3,460,4,3800,930524,1,0,0,0,0,0,13900
-83.658384,41.660962,1992,1,1540,7,3,1,1,87,2,400,6,11900,980330,0,0,0,0,0,1,120000
-83.476272,41.72675,1966,1,4813,7,3,2,2,100,2,624,8,24200,960510,0,0,0,1,0,0,385000
-83.594442,41.725666,1971,4,1997,7,3,1,1,50,2,441,7,5000,930107,1,0,0,0,0,0,87000
-83.492846,41.62956,1925,1,800,6,2,1,0,50,0,0,5,5500,941107,0,1,0,0,0,0,33500
-83.691806,41.691686,1955,1,2492,4,5,1,2,125,2,528,9,38300,960503,0,0,0,1,0,0,115000
-83.716623,41.664321,1989,5,2925,7,4,2,1,86,2,483,8,9600,940125,0,1,0,0,0,0,220000
-83.507363,41.672464,1887,1,1500,7,4,1,0,30,3,252,8,3600,960529,0,0,0,1,0,0,19500
-83.623006,41.71387,1952,1,1000,3,3,1,0,53,3,460,5,7700,970225,0,0,0,0,1,0,69000
-83.450289,41.631122,1992,5,2064,6,4,2,1,61,2,400,8,18800,930723,1,0,0,0,0,0,117000
-83.603614,41.628584,1917,4,958,3,2,1,0,35,3,336,5,4200,931001,1,0,0,0,0,0,45000
-83.614518,41.596575,1959,1,1816,6,3,1,1,68,2,336,6,13600,970114,0,0,0,0,1,0,108000
-83.518299,41.632486,1914,5,1276,6,3,1,0,35,3,484,6,4500,980820,0,0,0,0,0,1,19800
-83.617217,41.651561,1955,1,720,6,2,1,0,53,3,624,4,7400,961112,0,0,0,1,0,0,32500
-83.410686,41.628856,1979,5,2957,7,4,2,0,232,2,598,8,163100,961010,0,0,0,1,0,0,266000
-83.522773,41.664688,1877,1,912,6,2,1,0,25,0,0,6,4100,930208,1,0,0,0,0,0,4000
-83.704894,41.604229,1993,1,1911,7,3,2,0,70,2,484,6,11703,940805,0,1,0,0,0,0,184000
-83.820425,41.551128,1985,5,2610,7,3,3,0,192,2,640,7,250400,980505,0,0,0,0,0,1,290000
-83.590608,41.630253,1927,5,1123,6,3,1,0,33,3,352,6,5100,970415,0,0,0,0,1,0,49000
-83.559695,41.669347,1910,5,3035,7,5,2,0,55,3,360,9,8300,980721,0,0,0,0,0,1,97000
-83.608911,41.69732,1947,1,1287,6,3,1,0,58,3,280,6,8400,960531,0,0,0,1,0,0,76000
-83.633998,41.68523,1958,1,2283,7,3,3,0,113,2,513,6,15100,930709,1,0,0,0,0,0,142000
-83.603188,41.675848,1939,5,1330,6,3,1,1,40,3,420,7,4800,971203,0,0,0,0,1,0,60000
-83.579634,41.688036,1925,5,1137,6,3,1,0,33,3,252,6,3700,980625,0,0,0,0,0,1,45000
-83.637018,41.636016,1969,2,1666,6,4,1,0,70,3,576,7,8400,970314,0,0,0,0,1,0,61200
-83.606305,41.672596,1948,5,1248,4,3,2,0,43,3,252,6,4900,931220,1,0,0,0,0,0,75000
-83.697576,41.599201,1978,5,1540,3,3,1,0,70,2,400,7,8400,961127,0,0,0,1,0,0,118500
-83.493107,41.702885,1968,1,1812,4,3,1,1,60,2,440,6,6800,970910,0,0,0,0,1,0,108000
-83.618529,41.606479,1948,1,1163,6,3,1,0,50,3,440,5,6000,950914,0,0,1,0,0,0,57500
-83.598974,41.628843,1925,1,736,6,2,1,0,32,3,180,5,3600,950721,0,0,1,0,0,0,35000
-83.623664,41.593163,1949,1,1059,6,4,1,0,58,3,280,6,5300,940429,0,1,0,0,0,0,55000
-83.622033,41.726851,1961,1,1544,7,3,1,1,60,2,264,6,9100,970902,0,0,0,0,1,0,87000
-83.882305,41.533606,1992,3,1752,7,3,1,1,248,2,520,6,57900,970829,0,0,0,0,1,0,127000
-83.738032,41.660124,1995,5,1875,7,4,2,1,85,2,400,7,10200,980304,0,0,0,0,0,1,152500
-83.691248,41.665397,1964,1,1146,7,4,1,0,70,2,252,7,7100,971001,0,0,0,0,1,0,96400
-83.538175,41.684772,1923,5,1468,6,3,1,0,30,3,440,7,3800,950424,0,0,1,0,0,0,45000
-83.650142,41.714662,1977,5,3013,7,4,2,1,86,2,460,9,12000,940217,0,1,0,0,0,0,224000
-83.722843,41.663772,1996,4,3263,7,2,2,0,48,2,483,5,16974,970326,0,0,0,0,1,0,304900
-83.623309,41.672383,1952,1,1947,4,2,2,0,100,2,504,5,13600,941227,0,1,0,0,0,0,141000
-83.620728,41.594239,1952,1,1659,3,4,1,0,40,2,322,8,5000,980925,0,0,0,0,0,1,57500
-83.602879,41.682279,1950,1,780,6,2,1,0,40,3,320,4,4800,980603,0,0,0,0,0,1,51000
-83.498263,41.702143,1974,2,1508,7,3,1,1,73,2,480,6,11800,970918,0,0,0,0,1,0,85500
-83.740743,41.629668,1993,5,2862,7,4,2,1,60,2,658,9,19146,961121,0,0,0,1,0,0,289100
-83.604855,41.660524,1927,5,1733,6,3,2,0,60,0,0,7,5500,961031,0,0,0,1,0,0,47000
-83.621214,41.705367,1961,5,2042,7,3,1,1,60,3,400,7,9600,980929,0,0,0,0,0,1,135000
-83.602697,41.695444,1917,5,1570,6,4,2,0,60,3,720,8,12000,980612,0,0,0,0,0,1,102000
-83.59914,41.609553,1913,5,1582,6,3,1,0,60,3,576,6,8600,950322,0,0,1,0,0,0,84000
-83.612257,41.709388,1958,1,1505,3,3,1,0,50,0,0,7,6800,970410,0,0,0,0,1,0,74000
-83.713552,41.636858,1997,5,2095,7,4,2,1,137,2,420,8,22564,970401,0,0,0,0,1,0,34900
-83.555173,41.628063,1872,1,928,3,2,1,0,42,3,462,5,5900,980204,0,0,0,0,0,1,11382
-83.582564,41.619164,1917,4,1976,3,3,2,0,43,3,360,7,9500,960719,0,0,0,1,0,0,51000
-83.48077,41.706417,1955,1,1048,4,3,1,0,40,3,320,4,4800,930511,1,0,0,0,0,0,65000
-83.553075,41.678083,1901,5,1890,6,2,2,0,52,3,760,7,8900,970617,0,0,0,0,1,0,35000
-83.66756,41.710329,1947,1,1080,6,2,1,0,75,3,352,5,10200,940114,0,1,0,0,0,0,35500
-83.62436,41.589968,1960,1,1544,7,3,1,1,72,2,420,6,9200,980527,0,0,0,0,0,1,98000
-83.612696,41.687518,1931,5,1458,4,3,1,1,40,3,324,6,4300,970516,0,0,0,0,1,0,98000
-83.672327,41.658447,1927,1,598,6,2,1,0,44,2,230,4,7600,950407,0,0,1,0,0,0,30000
-83.657484,41.715179,1954,1,1739,7,3,1,1,145,2,463,7,24400,930402,1,0,0,0,0,0,108000
-83.636038,41.64653,1954,1,1340,4,2,1,0,50,3,352,5,6600,980603,0,0,0,0,0,1,71000
-83.404612,41.682668,1995,1,384,3,0,0,0,115,3,1248,1,24700,941013,0,1,0,0,0,0,20900
-83.507175,41.64258,1909,5,1232,2,3,1,0,37,3,484,7,3800,930726,1,0,0,0,0,0,25000
-83.644069,41.723285,1967,1,1437,7,3,1,1,60,2,240,7,6700,931216,1,0,0,0,0,0,76500
-83.569937,41.702312,1949,5,1296,3,3,1,1,39,3,396,7,5500,960809,0,0,0,1,0,0,57000
-83.660727,41.708225,1955,1,1568,7,3,1,0,110,2,308,7,13200,961001,0,0,0,1,0,0,81000
-83.516215,41.651122,1902,1,1016,6,2,1,0,40,3,280,5,5000,950803,0,0,1,0,0,0,25000
